tj	3624465
jd	5704519
dd	4451015
pi	1738169
ia	2385570
df	6196827
fg	1923319
gz	2782100
nq	1378170
qn	1161444
nh	1983045
mm	1400131
mb	1769743
bz	5417134
fj	7113387
ll	1849018
lb	2606766
bl	2497252
qk	3213508
kl	3680459
dm	3250491
mx	913184
xb	4024006
bi	1056048
hl	1755016
lg	964392
gl	2701961
hh	1505525
hx	2321202
xm	3523961
pt	605718
zz	1028503
zk	3128557
mf	1312974
ft	2542900
td	1587852
du	1459108
yp	1462670
pr	339534
rd	1297283
ng	831362
gm	1396638
mr	329446
xx	3497247
xj	3657113
jc	3535762
cu	308161
fn	2177074
jx	4363320
xy	2221727
yd	3326813
he	3518427
et	889738
tz	810406
yy	5018097
ye	2881596
eu	1546475
yt	8338793
ty	2765530
qg	1494912
gt	1829460
tt	1234556
mk	949664
kf	4390183
ff	9382387
st	1372110
tn	248642
dj	17830782
bh	1620519
ht	2536380
tp	796574
fb	1482587
bm	3062460
kk	448068
yk	6003073
kj	4388971
jw	1683233
wa	1121316
px	557607
xw	1939553
xh	2715148
ev	2023205
mz	2161503
zt	445018
th	2072271
yl	3487980
lw	1691202
wu	695249
bs	745930
tl	6233542
lp	383471
pf	2018338
mw	2278019
dg	3640606
gx	1286940
xv	1293227
es	916745
sl	946285
ls	631801
hy	1456302
ek	10682780
kg	1513651
lq	1714230
qv	984265
dy	3282981
dv	1098950
lz	401962
gc	173381
ch	2386197
hw	2196448
ws	2234843
yf	2886612
mj	2374479
db	1439117
bf	21401108
er	4747292
rj	3232903
xu	1063624
hm	798048
md	5193048
sf	1414370
fq	15453985
kv	1175288
kz	603327
zr	1370075
ds	2267767
sr	266795
pc	313258
cy	1185481
wh	1278131
ha	375787
xg	3620394
gj	5766216
sy	3816059
yh	5026049
hq	4806180
wt	1316557
tc	978258
hd	1602380
dh	2300260
wl	1036441
ly	1660395
yv	1281229
lu	974818
uu	858035
ef	1628724
fy	3082471
yz	1640793
zi	618374
jy	3047063
yx	3578538
va	2366760
yg	3652688
gq	570450
lh	843297
di	874632
jq	2745403
qc	987172
jj	8000047
je	7724321
ea	1611865
gd	4657154
dr	1111368
gf	1367859
fl	1560018
lj	4595983
jv	6875665
bg	2542755
ys	1265707
js	3718954
su	367782
ua	2341612
bk	1643196
ks	669555
ss	283891
pe	666816
eb	1969541
xc	3302404
cz	506316
cp	280164
pb	1739298
pz	235421
zc	225443
tg	657096
gy	2724917
lt	406137
mn	1957065
fs	13086237
dt	1087830
to	601389
xs	969946
sm	283259
ja	1745831
ao	1779738
dz	2041601
zg	951276
ju	1637323
hc	258867
fk	12743058
jm	8484681
ml	6882750
lk	9739294
ki	1242383
jp	3728038
jl	3203941
fx	2897894
ey	1514929
yi	2526312
ke	2758695
hu	1125058
wj	6184090
qj	3918640
iv	3130967
vu	1324755
jg	5791283
fr	2176258
lv	1392365
fu	2220424
tw	1236062
we	1307643
ej	6589212
vv	2094123
lr	2048272
rm	475114
mp	241565
pk	2080072
ez	602282
gs	4101366
jk	7715155
kc	276323
be	1236635
kx	2466640
my	1995771
fd	7431923
uv	1138527
zx	710207
mh	2038518
tu	411470
co	215659
bj	6129636
lo	1702238
oa	5767528
km	270015
fe	1960244
qm	3432735
mq	732875
qp	2520313
pu	239931
sj	2025152
ci	1107116
rc	85532
fi	1335828
nr	652656
ky	4169663
hj	2445946
ji	2563804
go	849467
sk	903555
hz	508972
zy	1282528
fa	2759500
wd	1263758
pj	1786781
cw	723863
jb	3966757
bv	636360
vi	3097101
nm	668156
fv	1747193
hg	5704891
tm	450259
ms	725964
sv	591588
zj	1608144
qu	726232
wo	647263
dw	1007931
gv	758766
zs	897280
sb	415846
bu	508555
do	550674
hp	913753
ai	1146047
mg	683749
qr	9574490
tv	531115
kp	297730
av	4147987
vo	4919476
ya	854943
lm	719236
xd	2999163
lx	1421574
xf	2584833
no	125141
ku	1208480
sw	1132590
ts	134580
sg	478556
em	570171
mt	1005894
ta	364175
pw	900478
wg	1467501
gn	282440
se	482122
ko	921609
oi	2445398
kd	8203589
qe	1287592
tr	236026
rv	1033978
qx	2527088
fh	3712752
hv	571354
oo	2568936
nx	1097819
zm	327742
rg	539925
sz	390026
hs	108970
li	1430687
wy	3290355
rs	55426
yr	617125
ra	148955
wf	5448047
eq	3141447
qy	1957976
ld	1886206
zh	759767
xe	3262172
ex	1489083
xl	1739962
nt	266100
hr	244631
dl	1202645
mo	638990
bw	3053013
wb	559584
iu	1375660
ql	2741998
pa	280767
wk	1707945
re	575494
eg	3009993
gi	1028155
ym	1041405
ma	382702
ti	1290498
lf	1165600
bb	1814151
uo	1374194
xp	420455
eh	1109392
ph	497019
ni	94974
le	6286730
ru	307467
jr	3651904
yj	4752791
ca	100798
pv	285376
aa	2769943
jt	1716956
yo	700519
wi	926632
gp	304888
gb	6099817
rh	290208
jo	3741814
ov	1787600
yb	2624991
pn	59692
nz	128396
wm	832600
yw	968381
wv	725027
hf	816355
jz	1061345
ee	3380248
sd	896656
de	4253847
ei	1511258
by	1290130
sc	84349
jn	1197577
nj	611841
ro	249027
ii	2452075
ui	593553
dp	705148
cv	251344
bx	2265064
kq	1558421
bn	532890
nu	84074
tb	2375344
bo	773983
bp	130288
bt	477416
nf	1209306
wq	1626507
qh	1464774
gu	336832
jf	4636315
fo	1570854
kr	256092
rf	2668664
qw	812626
ww	5622151
xk	2136968
qb	3106217
wc	93032
cj	2061137
fz	1610973
zl	397538
ry	2110735
el	1091431
zb	1800362
mc	476083
pg	770863
ps	53926
wn	409609
ba	1066117
qi	2678604
io	1991257
ou	1068008
ri	317466
gg	991618
tx	627990
pp	396657
la	812933
gr	401361
fm	638569
pd	626295
qz	150709
fw	5113495
tf	788991
ge	6723174
ka	969758
au	858533
zd	1667455
qs	108066
si	424162
rw	1212628
ec	171698
ct	87445
zf	1472369
so	3758049
cb	110887
xn	278957
ne	496707
mu	291110
wr	452243
dn	99471
xi	1208814
rn	1131995
nv	369501
mv	1920330
sq	412545
rt	710781
ny	507521
da	1221658
hn	245210
np	258873
nd	481723
qf	3667210
zn	39619
ck	700657
kb	1452256
dx	1827430
qd	805940
zq	611694
ga	1696868
gw	789607
qo	472912
me	803752
hb	3785042
bc	3436930
fp	2683976
zw	342237
cf	709886
xr	224347
ed	7887137
ho	906948
zo	251042
tq	1847387
nn	94129
rp	98288
pm	380330
wx	1091960
zv	402133
cd	347694
jh	2875443
kh	1642623
rq	6303115
bq	1396286
qt	26721851
rk	148795
py	771295
yq	1653635
ew	607939
sa	598459
hi	1612000
qq	3336211
en	1390817
sh	405438
wp	978621
xt	1220579
po	1186676
kw	1949763
sn	109121
mi	442729
nl	1286482
gh	4959989
pl	1076161
cs	36224
xq	1649904
ns	199094
kt	1162476
sx	708292
dc	404567
nc	391680
ln	188873
nk	217310
cm	83787
fc	224519
cl	298761
sp	98758
xo	1196883
xa	1579220
ep	3581451
rl	223815
na	862001
rb	820549
za	1809759
hk	442058
ze	495993
cg	36905
qa	1092368
yu	728048
cq	2009819
zu	378801
bd	891497
yc	349881
nb	177400
nw	432231
dk	1776743
yn	206018
te	972281
wz	387404
lc	764504
tk	1982405
rx	1292267
zp	157720
br	535327
xz	1633130
ce	1734516
cx	389656
cr	162003
kn	446024
rz	91433
dq	936105
eo	1896534
gk	115803
cn	112492
pq	661459
rr	142632
cc	108461
vp	61
